"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"ASV_535"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Clostridium"	"s__perfringens"
"ASV_536"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Lachnospiraceae"	NA	NA
"ASV_537"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Legionellales"	"f__Legionellaceae"	NA	NA
"ASV_538"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Bacillales"	"f__Paenibacillaceae"	"g__Cohnella"	NA
"ASV_539"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	NA	NA
"ASV_540"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Legionellales"	"f__Coxiellaceae"	NA	NA
"ASV_541"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	NA	NA
"ASV_542"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	NA	NA
"ASV_543"	"k__Bacteria"	"p__Actinobacteria"	"c__Acidimicrobiia"	"o__Acidimicrobiales"	NA	NA	NA
"ASV_544"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	"g__Angiopteris"	"s__lygodiifolia"
"ASV_545"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	NA	NA	NA
"ASV_546"	"k__Bacteria"	"p__Planctomycetes"	"c__Planctomycetia"	"o__Gemmatales"	"f__Isosphaeraceae"	NA	NA
"ASV_547"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Enterobacteriales"	"f__Enterobacteriaceae"	"g__Escherichia"	"s__coli"
"ASV_548"	"k__Bacteria"	"p__Proteobacteria"	"c__Deltaproteobacteria"	"o__Myxococcales"	"f__Cystobacterineae"	NA	NA
"ASV_549"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Lactobacillus"	NA
"ASV_550"	"k__Bacteria"	"p__Bacteroidetes"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Prevotellaceae"	"g__Prevotella"	NA
"ASV_551"	"k__Bacteria"	"p__TM6"	"c__SJA-4"	NA	NA	NA	NA
"ASV_552"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Rhizobiaceae"	"g__Kaistia"	NA
"ASV_553"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Pseudomonadales"	"f__Moraxellaceae"	"g__Moraxella"	NA
"ASV_554"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Enterobacteriales"	"f__Enterobacteriaceae"	"g__Plesiomonas"	"s__shigelloides"
"ASV_555"	"k__Bacteria"	"p__Actinobacteria"	"c__Thermoleophilia"	"o__Solirubrobacterales"	"f__Patulibacteraceae"	"g__Patulibacter"	NA
"ASV_556"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Lachnospiraceae"	"g__Dorea"	NA
"ASV_557"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Nocardioidaceae"	NA	NA
"ASV_558"	"k__Bacteria"	"p__Actinobacteria"	"c__Thermoleophilia"	"o__Solirubrobacterales"	"f__Conexibacteraceae"	"g__Conexibacter"	NA
"ASV_559"	"k__Bacteria"	"p__Proteobacteria"	"c__Betaproteobacteria"	"o__Neisseriales"	"f__Neisseriaceae"	"g__Chromobacterium"	NA
"ASV_560"	"k__Bacteria"	"p__Cyanobacteria"	"c__Chloroplast"	"o__Streptophyta"	NA	NA	NA
"ASV_561"	"k__Bacteria"	"p__Proteobacteria"	"c__Betaproteobacteria"	"o__Burkholderiales"	"f__Oxalobacteraceae"	"g__Janthinobacterium"	NA
"ASV_562"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	NA	NA
"ASV_563"	"k__Bacteria"	"p__Acidobacteria"	"c__Solibacteres"	"o__Solibacterales"	NA	NA	NA
"ASV_564"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	NA	NA
"ASV_565"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	"g__Diplazium"	"s__pycnocarpon"
"ASV_566"	"k__Bacteria"	"p__Cyanobacteria"	"c__Chloroplast"	"o__Chlorophyta"	NA	NA	NA
"ASV_567"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Xanthomonadales"	"f__Sinobacteraceae"	NA	NA
"ASV_568"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	NA	NA
"ASV_569"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	NA	NA
"ASV_570"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	NA	NA
"ASV_571"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Methylobacteriaceae"	"g__Methylobacterium"	NA
"ASV_572"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Microbacteriaceae"	"g__Salinibacterium"	NA
"ASV_573"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	NA	NA
"ASV_574"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Lachnospiraceae"	"g__Clostridium"	"s__piliforme"
"ASV_575"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Lachnospiraceae"	"g__Dorea"	NA
"ASV_576"	"k__Bacteria"	NA	NA	NA	NA	NA	NA
"ASV_577"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Bacillales"	"f__Paenibacillaceae"	"g__Paenibacillus"	NA
"ASV_578"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Legionellales"	"f__Coxiellaceae"	"g__Aquicella"	NA
"ASV_579"	"k__Bacteria"	"p__Actinobacteria"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Coriobacteriaceae"	"g__Atopobium"	NA
"ASV_580"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Micromonosporaceae"	"g__Actinoplanes"	NA
"ASV_581"	"k__Bacteria"	"p__Actinobacteria"	"c__Thermoleophilia"	"o__Solirubrobacterales"	NA	NA	NA
"ASV_582"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Xanthomonadales"	"f__Sinobacteraceae"	NA	NA
"ASV_583"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	NA	NA
"ASV_584"	"k__Bacteria"	"p__Verrucomicrobia"	"c__[Methylacidiphilae]"	"o__Methylacidiphilales"	NA	NA	NA
"ASV_585"	"k__Bacteria"	"p__Proteobacteria"	NA	NA	NA	NA	NA
"ASV_586"	"k__Bacteria"	"p__Proteobacteria"	"c__Deltaproteobacteria"	"o__Myxococcales"	"f__Cystobacterineae"	NA	NA
"ASV_587"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Rhizobiaceae"	"g__Rhizobium"	NA
"ASV_588"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	NA	NA
"ASV_589"	"k__Bacteria"	"p__Cyanobacteria"	"c__Chloroplast"	"o__Chlorophyta"	NA	NA	NA
"ASV_590"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Streptomycetaceae"	NA	NA
"ASV_591"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Xanthomonadales"	"f__Sinobacteraceae"	NA	NA
"ASV_592"	"k__Bacteria"	"p__WPS-2"	NA	NA	NA	NA	NA
"ASV_593"	"k__Bacteria"	"p__Proteobacteria"	NA	NA	NA	NA	NA
"ASV_594"	"k__Bacteria"	"p__Cyanobacteria"	"c__Chloroplast"	"o__CAB-I"	NA	NA	NA
"ASV_595"	"k__Bacteria"	"p__WPS-2"	NA	NA	NA	NA	NA
"ASV_596"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	NA	NA
"ASV_597"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	NA	NA	NA
"ASV_598"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	NA	NA	NA
"ASV_599"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	NA	NA
"ASV_600"	"k__Bacteria"	"p__Actinobacteria"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Coriobacteriaceae"	"g__Eggerthella"	NA
"ASV_601"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Legionellales"	"f__Coxiellaceae"	"g__Aquicella"	NA
"ASV_602"	"k__Bacteria"	"p__Actinobacteria"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Coriobacteriaceae"	"g__Collinsella"	"s__stercoris"
"ASV_603"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Streptomycetaceae"	"g__Kitasatospora"	NA
"ASV_604"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Pseudonocardiaceae"	"g__Pseudonocardia"	NA
"ASV_605"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	NA	NA
"ASV_606"	"k__Bacteria"	"p__Planctomycetes"	"c__Planctomycetia"	"o__Gemmatales"	"f__Gemmataceae"	NA	NA
"ASV_607"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	NA	NA
"ASV_608"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Legionellales"	"f__Coxiellaceae"	"g__Aquicella"	NA
"ASV_609"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	"g__Acanthamoeba"	"s__tubiashi"
"ASV_610"	"k__Bacteria"	"p__Cyanobacteria"	"c__Chloroplast"	"o__Chlorophyta"	"f__Trebouxiophyceae"	"g__Coccomyxa"	"s__subellipsoidea"
"ASV_611"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Micromonosporaceae"	NA	NA
"ASV_612"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Micrococcaceae"	"g__Rothia"	"s__nasimurium"
"ASV_613"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Legionellales"	NA	NA	NA
"ASV_614"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Bacillales"	"f__Bacillaceae"	"g__Bacillus"	"s__muralis"
"ASV_615"	"k__Bacteria"	"p__Cyanobacteria"	"c__Chloroplast"	"o__Chlorophyta"	NA	NA	NA
"ASV_616"	"k__Bacteria"	"p__Actinobacteria"	"c__Acidimicrobiia"	"o__Acidimicrobiales"	NA	NA	NA
"ASV_617"	"k__Bacteria"	"p__Chlamydiae"	"c__Chlamydiia"	"o__Chlamydiales"	"f__Parachlamydiaceae"	NA	NA
"ASV_618"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Beijerinckiaceae"	"g__Beijerinckia"	NA
"ASV_619"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Peptostreptococcaceae"	NA	NA
"ASV_620"	"k__Bacteria"	"p__Bacteroidetes"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"	NA
"ASV_621"	"k__Bacteria"	"p__Verrucomicrobia"	"c__[Spartobacteria]"	"o__[Chthoniobacterales]"	"f__[Chthoniobacteraceae]"	"g__Candidatus Xiphinematobacter"	NA
"ASV_622"	"k__Bacteria"	"p__WPS-2"	NA	NA	NA	NA	NA
"ASV_623"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Phyllobacteriaceae"	NA	NA
"ASV_624"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	NA	NA
"ASV_625"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Bacillales"	"f__Bacillaceae"	"g__Bacillus"	NA
"ASV_626"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Brucellaceae"	"g__Ochrobactrum"	"s__intermedium"
"ASV_627"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Thermomonosporaceae"	NA	NA
"ASV_628"	"k__Bacteria"	"p__Bacteroidetes"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Porphyromonadaceae"	"g__Dysgonomonas"	NA
"ASV_629"	"k__Bacteria"	"p__Bacteroidetes"	"c__Sphingobacteriia"	"o__Sphingobacteriales"	"f__Sphingobacteriaceae"	NA	NA
"ASV_630"	"k__Bacteria"	NA	NA	NA	NA	NA	NA
"ASV_631"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhodospirillales"	"f__Acetobacteraceae"	NA	NA
"ASV_632"	"k__Bacteria"	"p__Tenericutes"	"c__Mollicutes"	"o__Entomoplasmatales"	"f__Entomoplasmataceae"	"g__Entomoplasma"	NA
"ASV_633"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Lachnospiraceae"	"g__Clostridium"	"s__citroniae"
"ASV_634"	"k__Bacteria"	"p__Acidobacteria"	"c__DA052"	"o__Ellin6513"	NA	NA	NA
"ASV_635"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	NA	NA	NA
"ASV_636"	"k__Bacteria"	"p__Actinobacteria"	"c__Thermoleophilia"	"o__Solirubrobacterales"	"f__Patulibacteraceae"	"g__Patulibacter"	NA
"ASV_637"	"k__Bacteria"	"p__Chlamydiae"	"c__Chlamydiia"	"o__Chlamydiales"	"f__Parachlamydiaceae"	NA	NA
"ASV_638"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Micrococcaceae"	"g__Arthrobacter"	"s__psychrolactophilus"
"ASV_639"	"k__Bacteria"	"p__Actinobacteria"	"c__Thermoleophilia"	"o__Solirubrobacterales"	NA	NA	NA
"ASV_640"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Intrasporangiaceae"	NA	NA
"ASV_641"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Sporichthyaceae"	NA	NA
"ASV_642"	"k__Bacteria"	"p__Actinobacteria"	"c__Acidimicrobiia"	"o__Acidimicrobiales"	NA	NA	NA
"ASV_643"	"k__Bacteria"	"p__Acidobacteria"	"c__Acidobacteriia"	"o__Acidobacteriales"	"f__Acidobacteriaceae"	NA	NA
"ASV_644"	"k__Bacteria"	"p__Acidobacteria"	"c__Solibacteres"	"o__Solibacterales"	NA	NA	NA
"ASV_645"	"k__Bacteria"	"p__Proteobacteria"	NA	NA	NA	NA	NA
"ASV_646"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Streptococcaceae"	"g__Streptococcus"	NA
"ASV_647"	"k__Bacteria"	"p__Proteobacteria"	"c__Deltaproteobacteria"	"o__Syntrophobacterales"	"f__Syntrophobacteraceae"	NA	NA
"ASV_648"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	NA	NA
"ASV_649"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Legionellales"	"f__Coxiellaceae"	NA	NA
"ASV_650"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Legionellales"	"f__Coxiellaceae"	NA	NA
"ASV_651"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__[Tissierellaceae]"	NA	NA
"ASV_652"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Mycobacteriaceae"	"g__Mycobacterium"	NA
"ASV_653"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Xanthomonadales"	"f__Sinobacteraceae"	NA	NA
"ASV_654"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Legionellales"	"f__Coxiellaceae"	"g__Rickettsiella"	NA
"ASV_655"	"k__Bacteria"	"p__Actinobacteria"	"c__Thermoleophilia"	"o__Solirubrobacterales"	"f__Conexibacteraceae"	"g__Conexibacter"	NA
"ASV_656"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Thermomonosporaceae"	"g__Actinoallomurus"	NA
"ASV_657"	"k__Bacteria"	"p__Actinobacteria"	"c__Thermoleophilia"	"o__Gaiellales"	NA	NA	NA
"ASV_658"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhodospirillales"	"f__Acetobacteraceae"	NA	NA
"ASV_659"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Legionellales"	"f__Legionellaceae"	NA	NA
"ASV_660"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Xanthomonadales"	"f__Xanthomonadaceae"	"g__Rhodanobacter"	NA
"ASV_661"	"k__Bacteria"	"p__Acidobacteria"	"c__Acidobacteriia"	"o__Acidobacteriales"	"f__Koribacteraceae"	NA	NA
"ASV_662"	"k__Bacteria"	"p__Bacteroidetes"	"c__Sphingobacteriia"	"o__Sphingobacteriales"	"f__Sphingobacteriaceae"	NA	NA
"ASV_663"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	NA	NA
"ASV_664"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	NA	NA
"ASV_665"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Bacillales"	"f__Paenibacillaceae"	"g__Paenibacillus"	"s__chondroitinus"
"ASV_666"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Legionellales"	"f__Legionellaceae"	"g__Legionella"	NA
"ASV_667"	"k__Bacteria"	"p__Planctomycetes"	"c__Planctomycetia"	"o__Gemmatales"	"f__Gemmataceae"	NA	NA
"ASV_668"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Bacillales"	"f__Paenibacillaceae"	"g__Paenibacillus"	NA
"ASV_669"	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Bacillales"	"f__Planococcaceae"	"g__Solibacillus"	NA
"ASV_670"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	NA	NA	NA	NA
"ASV_671"	"k__Bacteria"	"p__Proteobacteria"	"c__Betaproteobacteria"	NA	NA	NA	NA
"ASV_672"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Methylocystaceae"	NA	NA
"ASV_673"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Legionellales"	"f__Coxiellaceae"	"g__Aquicella"	NA
"ASV_674"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	NA	NA	NA
"ASV_675"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Legionellales"	NA	NA	NA
"ASV_676"	"k__Bacteria"	"p__Fusobacteria"	"c__Fusobacteriia"	"o__Fusobacteriales"	"f__Fusobacteriaceae"	"g__Fusobacterium"	NA
"ASV_677"	"k__Bacteria"	"p__Acidobacteria"	"c__Acidobacteriia"	"o__Acidobacteriales"	"f__Koribacteraceae"	NA	NA
"ASV_678"	"k__Bacteria"	"p__Cyanobacteria"	"c__Chloroplast"	"o__Stramenopiles"	NA	NA	NA
"ASV_679"	"k__Bacteria"	"p__Cyanobacteria"	"c__Chloroplast"	"o__Chlorophyta"	NA	NA	NA
"ASV_680"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Pseudomonadales"	"f__Moraxellaceae"	"g__Enhydrobacter"	NA
"ASV_681"	"k__Bacteria"	"p__Verrucomicrobia"	"c__[Spartobacteria]"	"o__[Chthoniobacterales]"	"f__[Chthoniobacteraceae]"	"g__Candidatus Xiphinematobacter"	NA
"ASV_682"	"k__Bacteria"	"p__Cyanobacteria"	"c__Nostocophycideae"	"o__Nostocales"	"f__Nostocaceae"	NA	NA
"ASV_683"	"k__Bacteria"	NA	NA	NA	NA	NA	NA
"ASV_684"	"k__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Clostridiales"	"f__Peptostreptococcaceae"	"g__Peptostreptococcus"	"s__anaerobius"
"ASV_685"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Sphingomonadales"	"f__Sphingomonadaceae"	"g__Sphingomonas"	"s__wittichii"
"ASV_686"	"k__Bacteria"	"p__Planctomycetes"	"c__Planctomycetia"	"o__Gemmatales"	"f__Isosphaeraceae"	NA	NA
"ASV_687"	"k__Bacteria"	"p__Proteobacteria"	"c__Deltaproteobacteria"	"o__Myxococcales"	"f__Polyangiaceae"	NA	NA
"ASV_688"	"k__Bacteria"	"p__TM6"	"c__SJA-4"	NA	NA	NA	NA
"ASV_689"	"k__Bacteria"	"p__Cyanobacteria"	"c__Nostocophycideae"	"o__Nostocales"	"f__Nostocaceae"	NA	NA
"ASV_690"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Pseudonocardiaceae"	"g__Pseudonocardia"	NA
"ASV_691"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Legionellales"	"f__Coxiellaceae"	NA	NA
"ASV_692"	"k__Bacteria"	"p__Proteobacteria"	"c__Deltaproteobacteria"	"o__Spirobacillales"	NA	NA	NA
"ASV_693"	"k__Bacteria"	"p__Cyanobacteria"	"c__Chloroplast"	"o__Stramenopiles"	NA	NA	NA
"ASV_694"	"k__Bacteria"	"p__Chlamydiae"	"c__Chlamydiia"	"o__Chlamydiales"	NA	NA	NA
"ASV_695"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Hyphomicrobiaceae"	"g__Devosia"	NA
"ASV_696"	"k__Bacteria"	"p__Verrucomicrobia"	"c__[Methylacidiphilae]"	"o__Methylacidiphilales"	NA	NA	NA
"ASV_697"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Legionellales"	NA	NA	NA
"ASV_698"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	NA	NA
"ASV_699"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Actinomycetaceae"	"g__Actinomyces"	NA
"ASV_700"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	NA	NA
"ASV_701"	"k__Bacteria"	"p__Synergistetes"	"c__Synergistia"	"o__Synergistales"	"f__Synergistaceae"	NA	NA
"ASV_702"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Streptomycetaceae"	NA	NA
"ASV_703"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Legionellales"	"f__Coxiellaceae"	"g__Aquicella"	NA
"ASV_704"	"k__Bacteria"	"p__Verrucomicrobia"	"c__[Pedosphaerae]"	"o__[Pedosphaerales]"	"f__auto67_4W"	NA	NA
"ASV_705"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Legionellales"	"f__Coxiellaceae"	NA	NA
"ASV_706"	"k__Bacteria"	"p__TM6"	"c__SJA-4"	NA	NA	NA	NA
"ASV_707"	"k__Bacteria"	"p__Proteobacteria"	NA	NA	NA	NA	NA
"ASV_708"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Brucellaceae"	"g__Pseudochrobactrum"	NA
"ASV_709"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Methylocystaceae"	NA	NA
"ASV_710"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhodospirillales"	"f__Acetobacteraceae"	NA	NA
"ASV_711"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	"g__Acanthamoeba"	NA
"ASV_712"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Caulobacterales"	"f__Caulobacteraceae"	NA	NA
"ASV_713"	"k__Bacteria"	"p__TM6"	"c__SJA-4"	NA	NA	NA	NA
"ASV_714"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__mitochondria"	NA	NA
"ASV_715"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Enterobacteriales"	"f__Enterobacteriaceae"	"g__Escherichia"	"s__coli"
"ASV_716"	"k__Bacteria"	NA	NA	NA	NA	NA	NA
"ASV_717"	"k__Bacteria"	"p__Armatimonadetes"	"c__[Fimbriimonadia]"	NA	NA	NA	NA
"ASV_718"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Nocardioidaceae"	"g__Nocardioides"	NA
"ASV_719"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	NA	NA	NA
"ASV_720"	"k__Bacteria"	"p__Planctomycetes"	"c__Planctomycetia"	"o__Gemmatales"	"f__Gemmataceae"	NA	NA
"ASV_721"	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Methylocystaceae"	NA	NA
"ASV_722"	"k__Bacteria"	"p__Bacteroidetes"	"c__Sphingobacteriia"	"o__Sphingobacteriales"	"f__Sphingobacteriaceae"	NA	NA
"ASV_723"	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Pasteurellales"	"f__Pasteurellaceae"	NA	NA
